Název;Kód;Kategorie
rané středohradištní období;HES-000277;obdobi
raný středověk 2;HES-000301;obdobi
magdalénien;HES-000283;obdobi
kultura s moravskou malovanou keramikou 2;HES-000363;obdobi
billendorfská kultura (HaC);HES-000377;obdobi
nynická kultura;HES-000299;obdobi
HaD–LtA;HES-000309;obdobi
časný eneolit;HES-000286;obdobi
doba římská–stěhování národů;HES-000346;obdobi
pozdní středověk;HES-000271;obdobi
vrcholný středověk;HES-000328;obdobi
doba bronzová–halštatská;HES-000384;obdobi
raný středověk 3;HES-000379;obdobi
protoúnětická kultura;HES-000391;obdobi
středověk;HES-000380;obdobi
novověk;HES-000252;obdobi
chamská kultura;HES-000371;obdobi
saská lužická kultura;HES-000388;obdobi
vyspělé středohradištní období;HES-000302;obdobi
jevišovická kultura;HES-000373;obdobi
vrcholný středověk–novověk;HES-000273;obdobi
raný středověk 4;HES-000325;obdobi
novověk 2;HES-000382;obdobi
dobrodzieńská skupina;HES-000344;obdobi
štítarská kultura;HES-000297;obdobi
chebská kultura;HES-000294;obdobi
kobylská skupina;HES-000259;obdobi
kultura münchshöfenská;HES-000389;obdobi
mladší doba římská;HES-000341;obdobi
slezskoplatěnická kultura;HES-000295;obdobi
kultura zvoncovitých pohárů;HES-000318;obdobi
raný středověk 2–4;HES-000276;obdobi
paleolit–mezolit;HES-000284;obdobi
badenská kultura;HES-000317;obdobi
starší neolit;HES-000268;obdobi
halštatská mohylová kultura;HES-000332;obdobi
střední doba bronzová;HES-000322;obdobi
milavečská kultura;HES-000339;obdobi
taubachien;HES-000313;obdobi
industriální období 2;HES-000349;obdobi
českofalcká mohylová kultura;HES-000324;obdobi
únětická kultura;HES-000358;obdobi
plaňanský typ;HES-000393;obdobi
hatvanská kultura;HES-000320;obdobi
kultura s vypíchanou keramikou;HES-000361;obdobi
pozdní doba laténská (LtD);HES-000258;obdobi
paleolit;HES-000253;obdobi
miškovický typ;HES-000282;obdobi
lužická kultura;HES-000337;obdobi
šárecký typ;HES-000394;obdobi
kultura s lineární keramikou;HES-000269;obdobi
oberlauterbašská skupina;HES-000305;obdobi
kultura nálevkovitých pohárů;HES-000368;obdobi
starší doba římská;HES-000336;obdobi
přechod pozdní středověk/novověk;HES-000272;obdobi
pravěk;HES-000289;obdobi
podolská kultura;HES-000353;obdobi
kultura Kosihy-Čaka;HES-000351;obdobi
aurignacien;HES-000262;obdobi
doba halštatská;HES-000354;obdobi
moustérien;HES-000312;obdobi
mladší doba bronzová;HES-000290;obdobi
pozdní středohradištní období;HES-000278;obdobi
eneolit;HES-000285;obdobi
kultura kulovitých amfor;HES-000279;obdobi
řivnáčská kultura;HES-000372;obdobi
industriální období;HES-000347;obdobi
mladší doba halštatská (HaD2–3);HES-000310;obdobi
kultura Retz-Bajč-Křepice;HES-000367;obdobi
pozdněhradištní období;HES-000326;obdobi
novověk–industriální období;HES-000350;obdobi
epigravettien;HES-000263;obdobi
gravettien;HES-000311;obdobi
středodunajská mohylová kultura;HES-000323;obdobi
mladší eneolit;HES-000280;obdobi
doba laténská–římská;HES-000288;obdobi
starší eneolit;HES-000366;obdobi
velatická kultura;HES-000338;obdobi
pozdní paleolit;HES-000264;obdobi
slezská kultura;HES-000298;obdobi
kultura púchovská;HES-000256;obdobi
raný středověk;HES-000385;obdobi
schusseriedská kultura;HES-000364;obdobi
industriální období 1;HES-000348;obdobi
kultura se šňůrovou keramikou;HES-000375;obdobi
vyspělé mladohradištní období;HES-000303;obdobi
mladší doba stěhování národů;HES-000345;obdobi
doba bronzová;HES-000390;obdobi
středověk–novověk;HES-000392;obdobi
kultura przeworská;HES-000257;obdobi
zemědělský pravěk;HES-000304;obdobi
krumlovien;HES-000314;obdobi
starší paleolit;HES-000291;obdobi
období popelnicových polí;HES-000281;obdobi
neolit;HES-000267;obdobi
slezskoplatěnická kultura (HaC–D);HES-000378;obdobi
platěnická kultura;HES-000300;obdobi
knovízská kultura;HES-000293;obdobi
bošácká skupina;HES-000357;obdobi
jordanovská kultura;HES-000287;obdobi
věteřovská kultura;HES-000321;obdobi
turnovský typ;HES-000308;obdobi
doba halštatská–laténská;HES-000334;obdobi
epimagdalénien;HES-000265;obdobi
szeletien;HES-000260;obdobi
bylanská kultura;HES-000331;obdobi
novověk 1;HES-000381;obdobi
přechod raný/vrcholný středověk;HES-000270;obdobi
ostroměřská skupina;HES-000266;obdobi
kultura Chlopice-Veselé;HES-000352;obdobi
pozdní doba bronzová;HES-000383;obdobi
vrcholný–pozdní středověk;HES-000327;obdobi
střední doba laténská (LtB–C1);HES-000333;obdobi
kultura s moravskou malovanou keramikou 1;HES-000362;obdobi
horákovská kultura;HES-000307;obdobi
ohrozimský typ;HES-000369;obdobi
podmokelská skupina;HES-000329;obdobi
micoquien;HES-000292;obdobi
neolit–eneolit;HES-000387;obdobi
michelsberská kultura;HES-000365;obdobi
želiezovská skupina;HES-000340;obdobi
raný středověk 1;HES-000386;obdobi
střední eneolit;HES-000370;obdobi
mezolit;HES-000275;obdobi
mladší–pozdní doba laténská (LtC2–D);HES-000255;obdobi
starší doba bronzová;HES-000319;obdobi
doba laténská;HES-000254;obdobi
bohunicien;HES-000261;obdobi
nitranská kultura;HES-000359;obdobi
lengyelská kultura;HES-000306;obdobi
starší doba stěhování národů;HES-000343;obdobi
slezskoplatěnická kultura (HaB);HES-000296;obdobi
starší doba halštatská (HaC–D1);HES-000376;obdobi
časná doba laténská (LtA);HES-000355;obdobi
rané mladohradištní období;HES-000356;obdobi
střední–mladší neolit;HES-000360;obdobi
doba římská;HES-000335;obdobi
střední paleolit;HES-000274;obdobi
mladší/pozdní eneolit;HES-000374;obdobi
mladší paleolit;HES-000315;obdobi
doba stěhování národů;HES-000342;obdobi
billendorfská kultura;HES-000330;obdobi
střední/mladší doba laténská (LtC1–2);HES-001447;obdobi
datace neurčena;HES-000316;obdobi
náhodný zásah/nález;HES-001053;typ_akce
povrchový nález;HES-001049;typ_akce
jiná evidence;HES-001061;typ_akce
geofyzikální průzkum;HES-001046;typ_akce
stavebně-historický průzkum;HES-001048;typ_akce
mikrosondáž/vzorkovací sondáž;HES-001051;typ_akce
environmentální vzorek;HES-001060;typ_akce
geochemický průzkum;HES-001047;typ_akce
bez okolností;HES-001062;typ_akce
letecký průzkum;HES-001045;typ_akce
vizuální/geodetický průzkum;HES-001044;typ_akce
nedokumentovaná akce;HES-001054;typ_akce
povrchový sběr;HES-001050;typ_akce
orientační zjištění;HES-001055;typ_akce
průzkum detektorem kovu;HES-001052;typ_akce
skupina/síť sond;HES-001058;typ_akce
sonda;HES-001057;typ_akce
vertikální řez;HES-001056;typ_akce
plošný odkryv;HES-001059;typ_akce
osídlený skalní prostor;HES-000065;areal
sídliště;HES-000081;areal
obora;HES-000037;areal
park;HES-000059;areal
sídlo elity;HES-000013;areal
most/brod;HES-000049;areal
areál jiné aktivity;HES-000056;areal
sklárna;HES-000030;areal
dvorec/dvůr;HES-000014;areal
výšinné sídliště;HES-000069;areal
nadkomunitní areál;HES-000011;areal
zničený prostor;HES-000063;areal
hrazené sídliště;HES-000064;areal
hrazený areál;HES-000071;areal
pohřební areál;HES-000025;areal
pohřebiště v sakrální stavbě;HES-000077;areal
kultovní místo;HES-000023;areal
rondel/rondeloid;HES-000012;areal
sídliště specializované komunity;HES-000070;areal
neurčený areál;HES-000060;areal
pohřebiště/hřbitov;HES-000027;areal
ojedinělý nález;HES-000062;areal
nález v druhotné poloze;HES-000061;areal
kultovní areál;HES-000019;areal
stanice/tábořiště;HES-000066;areal
depot;HES-000051;areal
areál vojenských aktivit;HES-000041;areal
popraviště;HES-000058;areal
strážnice/předsunutá bašta;HES-000045;areal
kříž/boží muka;HES-000022;areal
kanál/náhon;HES-000053;areal
pole;HES-000039;areal
železářský areál;HES-000031;areal
komunikace;HES-000047;areal
zámek/zámeček/vila;HES-000018;areal
dehtárna;HES-000079;areal
milířiště;HES-000029;areal
rybník;HES-000055;areal
pastvina/louka;HES-000038;areal
železnice;HES-000050;areal
protourbánní aglomerace;HES-000075;areal
město;HES-000074;areal
vesnice/městečko;HES-000068;areal
cesta;HES-000048;areal
zahrada/sad;HES-000040;areal
synagoga;HES-000024;areal
kostel;HES-000021;areal
polní opevnění;HES-000044;areal
hradiště;HES-000072;areal
pevnost;HES-000043;areal
hrad;HES-000015;areal
pivovar;HES-000080;areal
mlýn;HES-000028;areal
jez;HES-000052;areal
přehrada;HES-000054;areal
vodní dílo;HES-000082;areal
izolovaný pohřeb;HES-000026;areal
městský palác;HES-000016;areal
tvrz/hrádek;HES-000017;areal
areál zemědělské výroby;HES-000036;areal
kaple;HES-000020;areal
areál nezemědělské výroby;HES-000078;areal
předměstí;HES-000076;areal
bojiště;HES-000042;areal
klášter;HES-000073;areal
vojenský tábor;HES-000046;areal
lom;HES-000034;areal
důl;HES-000033;areal
rýžoviště;HES-000035;areal
areál těžby;HES-000032;areal
místo sběru;HES-000057;areal
samostatná usedlost;HES-000067;areal
Středočeský kraj;ruian-27;kraj
Liberecký kraj;ruian-78;kraj
Jihomoravský kraj;ruian-116;kraj
Pardubický kraj;ruian-94;kraj
Kraj Vysočina;ruian-108;kraj
Zlínský kraj;ruian-141;kraj
Moravskoslezský kraj;ruian-132;kraj
Olomoucký kraj;ruian-124;kraj
Královéhradecký kraj;ruian-86;kraj
Karlovarský kraj;ruian-51;kraj
Ústecký kraj;ruian-60;kraj
Plzeňský kraj;ruian-43;kraj
Jihočeský kraj;ruian-35;kraj
Hlavní město Praha;ruian-19;kraj
Galerie a muzeum Vysočiny Havlíčkův Brod;ORG-000128;organizace
Středočeské muzeum, příspěvková organizace;ORG-000193;organizace
Vlastivědné muzeum Jesenicka, příspěvková organizace;ORG-000024;organizace
Západočeské muzeum v Plzni, příspěvková organizace;ORG-000184;organizace
Univerzita Karlova - Filozofická fakulta;ORG-000099;organizace
Národní zemědělské muzeum, s.p.o.;ORG-000202;organizace
Ústav archeologické památkové péče středních Čech, příspěvková organizace;ORG-000051;organizace
Ústav pro archeologii a dokumentaci památek, z. ú.;ORG-000005;organizace
Západočeská univerzita v Plzni - Filozofická fakulta;ORG-000100;organizace
ZIP o.p.s.;ORG-000042;organizace
Pueblo - archeologická společnost, o.p.s.;ORG-000029;organizace
